"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "MS SQL", "Properties", "JSON", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\.env", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 3, 11
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\AUTHENTICATION_FIXED.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\AUTHENTICATION_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\FEATURE_DOCUMENTATION.md", "Markdown", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 342
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\IMPLEMENTATION_GUIDE.md", "Markdown", 342, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100, 443
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\MANAGER_PRESENTATION_GUIDE.md", "Markdown", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 155
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\POSTHOG_CONFIGURATION_GUIDE.md", "Markdown", 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 656
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\POSTHOG_FEATURES_REPORT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\SETUP_GUIDE.md", "Markdown", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 263
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\TECHNICAL_IMPLEMENTATION_SUMMARY.md", "Markdown", 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 412
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\URGENT_FIX_GUIDE.md", "Markdown", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 206
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\(dashboard)\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\(dashboard)\analytics\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\(dashboard)\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 467, 0, 10, 21, 498
"c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\(dashboard)\billing\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 367, 0, 2, 18, 387
